,placename,placeaddress,placephone,placeinfo,placeintro,openhour,placeimg
0,용필라테스,서울 마포구 마포대로 68 701호,0507-1416-8510,"주차, 예약","필라테스 1:1 개인레슨 굿모닝이벤트 1회당 45,000원!오픈이벤트 1회당 49,000원!횟수제한X 선착순 모집중!마포 공덕역에 위치한 1:1 필라테스 개인레슨 전문 센터입니다.마포아크로타워 7층",평일 06:30 - 22:00 1회 체험 35000원,"""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210326_274%2F1616763502063FBewm_JPEG%2FLPIeQ20GjpCFE6tN7FFu1llW.jpeg.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210426_139%2F16193653119031LULM_JPEG%2FwYmgFq1H6kD3d6om32rQ8HFa.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210426_46%2F1619365311649mYq0L_JPEG%2FuetcEn3D-7d7izOC87cEjrUK.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210502_202%2F1619923660397715OV_JPEG%2FWGHNYCtbJCcfRdFgYYSGLvdX.jpeg.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210502_98%2F1619923665602OC79x_JPEG%2FN7FD_cbhwR0SXYuEzx2npl-x.jpeg.jpg"""
1,파인필라테스,서울 마포구 마포대로11길 7-18 3층,0507-1420-8567,"주차, 예약, 무선 인터넷, 남/녀 화장실 구분, 제로페이, 국민지원금","안녕하세요^^공덕 최고의 프리미엄 필라테스 스튜디오파인 필라테스 입니다.저희는 프라이빗하게 1:1, 1:2, 1:3 레슨으로만 진행하며, 회원님 한 분 한 분께 온 정성을 다하고자 노력하고 있습니다.또한 청담동 프리미엄 스튜디오에서 사용하는최고급 명품 기구 '발란스드 바디'를 완비하고 있는 공덕 유일한 프리미엄 스튜디오입니다.코로나로 인해 더욱 중요해진 건강관리와 회원님의 몸에 100% 집중하는 맞춤형 티칭을 제공합니다.",매일 09:00 - 23:00,"""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210830_155%2F1630334913180qMgp0_JPEG%2FqdvoA9L4Pnh4Xvgnx5YtU5Ma.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210830_142%2F1630334927032n0qWf_JPEG%2FEp7INPqi9Yy87VxWC1hIgocP.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210903_179%2F1630660800343OasXM_JPEG%2FEfcpRCW9dasbS4w2QmS5N1Yx.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210903_14%2F1630660794797yaNpF_JPEG%2FFHC-1LJAxvzwxYT403yyVHOc.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210830_90%2F16303349455496MYc5_JPEG%2FVD2migjNfF86nZ8fq-fIiERC.jpg"""
2,14일동안 신촌점,서울 마포구 신촌로 88 태영빌딩 8층,0507-1333-1405,"주차, 예약, 무선 인터넷, 남/녀 화장실 구분",,"평일 10:00 - 22:00 일요일, 공휴일 휴무.","""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210728_75%2F1627461508127p4yBh_JPEG%2FvT6VDpHAXsWkP1r-IQ50A7yP.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210318_79%2F1616032464204g6Qmn_JPEG%2FKTBRk2Czm9I7N8hZWwAGEHIF.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210628_227%2F1624859465403OakMr_JPEG%2FYGAt9I2aYUoJWDCbhpa66E2V.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191101_133%2F1572591072481oOgUh_JPEG%2F%25BD%25C5%25C3%25CC%25C1%25F6%25C1%25A1%25BB%25E7%25C1%25F8.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161206_201%2F1480996268551F0LbP_JPEG%2F177156528128264_4.jpeg"""
3,순필라테스,서울 마포구 동교로 201,0507-1408-7997,국민지원금,,평일 09:00 - 22:30,"""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190213_74%2F1550052017445PfRL6_JPEG%2F3.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160623_290%2F1466648232189acDxI_JPEG%2F176573514732092_0.jpeg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160308_257%2F1457428464915DTRG1_JPEG%2F176258584444687_0.jpeg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160308_175%2F14574284650505CUrf_JPEG%2F176258584444687_1.jpeg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160308_181%2F14574284651803DUHd_JPEG%2F176258584444687_2.jpeg"""
4,제이핏필라테스 상암점,서울 마포구 월드컵북로 361 DMC이안 2단지 상가 3층 304~306호,010-3074-2949,"예약, 국민지원금",,평일 07:00 - 22:00,"""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20151112_269%2F14472945782087tPxl_JPEG%2FSUBMIT_1447293725509_33758403.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20151112_28%2F1447293731961GnAMW_JPEG%2FSUBMIT_1447293725094_33758403.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20151112_225%2F14472937321584PO1f_JPEG%2FSUBMIT_1447293725202_33758403.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20151112_162%2F144729373234462JRv_JPEG%2FSUBMIT_1447293725367_33758403.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20151112_108%2F1447294578449Nbf0x_JPEG%2FSUBMIT_1447293511611_33758403.jpg"""
5,제이핏필라테스 공덕점,서울 마포구 마포대로 73 sk허브그린 203호,02-719-1230,"주차, 예약, 무선 인터넷, 남/녀 화장실 구분, 국민지원금",,평일 07:00 - 22:00,"""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200226_34%2F15827002655710jTMk_JPEG%2FBgbMUNmMO0Vpvo87aBQsiAZ6.JPG.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200226_161%2F1582700266158zktkW_JPEG%2FE7JOMD4Aaz8g2Bz-p0Yubqll.JPG.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200226_66%2F1582700255387DAOkM_JPEG%2Fce-M5ADnIC7wVvSbTIuaKsXa.JPG.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200226_287%2F1582700249991C8kkI_JPEG%2F28t2NgPlbFhqAwcKk6UHW2SZ.JPG.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200226_64%2F15827002492751Q28O_JPEG%2FHzHI30eb6NTcJ6s2KVT1l2xa.JPG.jpg"""
6,BM필라테스&PT 마포공덕점,서울 마포구 도화4길 19 2층,0507-1349-2223,"주차, 방문접수/출장, 예약, 무선 인터넷, 국민지원금",,일요일 휴무,"""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210708_294%2F1625705934519EzquK_PNG%2F0BG0UgaKm7ZvOyKW-BQ88Wpt.png"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210708_117%2F16257059337694oE5b_PNG%2FOBwmuHOvmjLgGsatZ37lgXUg.png"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210708_62%2F1625705933770dI5Mp_PNG%2FbKy305GOq9HEGesq4h4Brd80.png"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210708_199%2F1625705933417BpWU9_PNG%2F343jgmlpy_43FWlgv7pr8wMp.png"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210708_53%2F1625705933682qhRsU_PNG%2FfutJPNiPqb14B4eRVbVsCuB2.png"""
7,리본필라테스 공덕점,서울 마포구 마포대로 78 자람빌딩,0507-1383-9760,"주차, 예약, 무선 인터넷, 남/녀 화장실 구분, 국민지원금",,일요일 휴무,"""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180214_89%2F1518581340468vIYJu_JPEG%2FNKlo-jisvpb8qaCaALb9QiNc.JPG.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191108_178%2F15732165300846fMin_JPEG%2FjgORjoDdJnRfIa6KfVeXeW_W.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191108_93%2F15732165300234Pcnv_JPEG%2FUIMD2vfu0aV-lXN_-ddkU-7_.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191108_211%2F1573216529970jhEIA_JPEG%2F5TVLKaTKcAGUn91KRzspGz6T.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191108_186%2F1573216529811qLam7_JPEG%2Fk-RFv_eAeyp_MlixTdeeIBtv.jpg"""
8,이지필라테스 홍대점,서울 마포구 월드컵북로2길 57 금화빌딩 2층,02-337-2900,"주차, 예약, 국민지원금",,주말 09:00 - 16:00 개인레슨만,"""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200629_173%2F15933920830221jMuU_JPEG%2Fimage.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200629_25%2F1593392084029du2eg_JPEG%2Fimage.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210218_268%2F1613633438763jwM6W_JPEG%2FgJc9JUbmp4ylc1toZoh_J1pw.jpeg.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210218_185%2F1613633438752c9YEa_JPEG%2FgIi-Db_Af8M496QuIkIInT60.jpeg.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210218_134%2F1613633438839l1mjs_JPEG%2FWNqsEpbczy4vcdy1DWLW_HrA.jpeg.jpg"""
9,마마필라테스,서울 마포구 토정로37길 41 하나프라자 4층,02-718-5579,"단체석, 주차, 발렛파킹, 예약, 무선 인터넷, 남/녀 화장실 구분","필라테스 전문 매장으로는 최초로  실평수 130평의 대형규모를 자랑하며 총 15명의 전문 여성 강사진이  있는 마마 필라테스 입니다. 그동안의 필라테스는 작은 규모에 전문성과 고급스러움을  강조하여 비싼 가격으로 인해 대중적이지 못했지만  마마 필라테스는 넓고 쾌적한 시설과 함께 마마 라는 이름에 걸맞게 고객에게 편안함과 딱딱하지 않은 친절함과 서비스를  제공해드리고 있고 처음오시는 소비자에게  부담되지 않는 합리적인 가격을 제공합니다. 체형교정, 재활, 통증 제거, 다이어트, 실버, 성장 필라테스,  맨즈 필라테스, 메디컬 필라테스(물리치료사출신),  산전 산후 필라테스, 요가+필라테스, 발레필라테스(발레핏) 클래스를 전문적으로 다루며,   마마 필라테스 체인점 공덕점을 2015년 6월 1일 오픈을 하게 되었으며 휴게공간, 무료 주차공간, 1인샤워실, 소도구 매트실, 콤비(캐딜락+리포머) 기구실, 개인레슨 A실, 개인레슨 B실 , 듀엣실, 요가실,발레실이 만들어져 있고여성분에게 특화되어 가벼운 무게로 맞춤 제작된  헬스 기구, 런닝머신, 싸이클이 구비된 별도의 체중조절 공간(헬스시설), 시설을 마련하여 1:1 pt 및 퀵 다이어트 를  필라테스 매장 최초로 선보이고 있습니다.최고의 시설과 함께 체형교정과 다이어트  일거양득의 효과를 드리도록 노력하겠습니다. 고객에게 엄마의 마음으로 항상 정성을 다하고  서비스와 대우를 1순위로 생각하는마마필라테스 임직원 일동 -편의시설-2시간 무료 주차(타워주차 아님)1인샤워실헬스기구및 런닝머신 싸이클(여성 특화 제작품)","평일 06:00 - 22:30 토,일요일 08:00 - 19:00","""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160521_133%2F1463816894276E1NiN_JPEG%2F176471567833329_0.jpeg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160521_60%2F14638168943514xiQT_JPEG%2F176471567833329_1.jpeg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160521_246%2F1463816894435qOcFd_JPEG%2F176471567833329_2.jpeg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160521_182%2F1463816894514rCRtB_JPEG%2F176471567833329_3.jpeg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160521_75%2F14638168945937MqIz_JPEG%2F176471567833329_4.jpeg"""
